"Dataset","Class","Rel. Site Pref. Cutoff","Odds Ratio","OR_CI95_lower","p.value"
"HA (H1N1)","Charge",0.5,1.57628375910191,1.20854097397686,0.000666710338834962
"HA (H1N1)","Charge",0.55,1.54413132894715,1.16535010923166,0.00197724185044517
"HA (H1N1)","Charge",0.6,1.57215825866891,1.15858785953878,0.0029984651808291
"HA (H1N1)","Charge",0.65,1.56644904472054,1.12346911838828,0.00662106689881658
"HA (H1N1)","Charge",0.7,1.57448900863753,1.08990396979728,0.0116591967673167
"HA (H1N1)","Charge",0.75,1.48128066522912,0.973868239646482,0.0575252175666435
"HA (H1N1)","Charge",0.8,1.15864397917761,0.700150586341317,0.544777631510064
"HA (H1N1)","Charge",0.85,1.06773147889728,0.583163280057853,0.88731878042493
"HA (H1N1)","Charge",0.9,0.853992557527645,0.378155271726654,0.727232385870088
"HA (H1N1)","Charge",0.95,1.01239493819388,0.310219724198631,1
"HIV ENV","Polarity",0.05,Inf,2.40377557786869,0.000779310210309569
"HIV ENV","Polarity",0.1,2.5661433044803,1.50878525349291,0.000147937061441187
"HIV ENV","Polarity",0.15,1.68643737246734,1.19451757346887,0.00199223804900963
"HIV ENV","Polarity",0.2,1.67877026047647,1.24618047541177,0.00039753742590139
"HIV ENV","Polarity",0.25,1.26694867641996,0.975298906343381,0.0745097251213257
"HIV ENV","Polarity",0.3,1.09573402073261,0.857387612298599,0.467281646309124
"HIV ENV","Polarity",0.35,1.0335993833458,0.81663436731944,0.815094832406335
"HIV ENV","Polarity",0.4,1.00850913879259,0.801882277830362,0.954612005831097
"HIV ENV","Polarity",0.45,1.0112915687041,0.806861672050892,0.955272944939417
"HIV ENV","Polarity",0.5,1.0232287298781,0.81732196858068,0.867181831810163
"HIV ENV","Polarity",0.55,1.03596572457572,0.826041094382267,0.778887135165438
"HIV ENV","Polarity",0.6,1.01416850773694,0.804722841677896,0.90888844751922
"HIV ENV","Polarity",0.65,1.04849534130081,0.824780837944275,0.721464732688964
"HIV ENV","Polarity",0.7,0.939225664947521,0.729921226110257,0.621776421028533
"HIV ENV","Polarity",0.75,0.850761639569726,0.647247675519446,0.235961590012754
"HIV ENV","Polarity",0.8,0.736445441577907,0.53652535002663,0.0464515145613144
"HIV ENV","Polarity",0.85,0.726429407414447,0.50461770153424,0.0791873692725452
"HIV ENV","Polarity",0.9,0.747803977830861,0.488472644062983,0.175925646862552
"HIV ENV","Polarity",0.95,0.554419543733008,0.286699357848361,0.0473170214961295
"NP (H3N2)","Polarity",0.05,1.07041255210889,0.831039136286095,0.61668880967461
"NP (H3N2)","Polarity",0.1,0.863275347424094,0.7017337119428,0.164167454660993
"NP (H3N2)","Polarity",0.15,0.83916551561024,0.67854820069315,0.103892254360848
"NP (H3N2)","Polarity",0.2,0.92229013660341,0.736569123694667,0.471563377378201
"NP (H3N2)","Polarity",0.25,1.00546160895686,0.791947209270355,1
"NP (H3N2)","Polarity",0.3,0.963406159428872,0.745640482594414,0.801321396843506
"NP (H3N2)","Polarity",0.35,0.831064348204566,0.626660232154271,0.196070519468933
"NP (H3N2)","Polarity",0.4,0.856704594570785,0.62890846256668,0.334075651780218
"NP (H3N2)","Polarity",0.45,0.837592851424877,0.599877920780536,0.30061301713419
"NP (H3N2)","Polarity",0.5,0.800145124015397,0.556140673247908,0.229849585092176
"NP (H3N2)","Polarity",0.55,0.927919109720918,0.629075195284328,0.710942391842429
"NP (H3N2)","Polarity",0.6,0.972570627193732,0.63496253470234,0.919134636836192
"NP (H3N2)","Polarity",0.65,0.852149121966844,0.527840400582564,0.505108820436638
"NP (H3N2)","Polarity",0.7,0.879729492171546,0.515086758328766,0.709672669997397
"NP (H3N2)","Polarity",0.75,0.897462706982529,0.484602492689719,0.777827326153162
"NP (H3N2)","Polarity",0.8,0.674439951613726,0.308762418245352,0.320264762622875
"NP (H3N2)","Polarity",0.85,0.684653549634307,0.272638576785764,0.444094589491731
"NP (H3N2)","Polarity",0.9,0.833716554134263,0.251807073165872,0.80725753682576
"NP (H3N2)","Polarity",0.95,0.338344416094206,0.0354498194486725,0.217421638552414
"NP (H1N1)","Polarity",0.05,1.16726410003914,0.882262516284168,0.273100654359248
"NP (H1N1)","Polarity",0.1,0.826134044369247,0.673804827882987,0.0611624124245909
"NP (H1N1)","Polarity",0.15,0.797564966221068,0.643074222972066,0.0345723710195769
"NP (H1N1)","Polarity",0.2,0.816448193801902,0.644938975227349,0.0847666649111082
"NP (H1N1)","Polarity",0.25,0.866866541398683,0.670817081834892,0.261803235624963
"NP (H1N1)","Polarity",0.3,0.930303757537552,0.704262632434192,0.634755190919916
"NP (H1N1)","Polarity",0.35,1.00704450406038,0.741990248622244,1
"NP (H1N1)","Polarity",0.4,1.08444657162182,0.772511234842848,0.619447179254365
"NP (H1N1)","Polarity",0.45,1.11265779530766,0.766786208509632,0.585608925166904
"NP (H1N1)","Polarity",0.5,1.09272478133279,0.717943485429375,0.684482786483975
"NP (H1N1)","Polarity",0.55,1.17334861321151,0.743109976017164,0.506341462805073
"NP (H1N1)","Polarity",0.6,1.35487026463517,0.831037440264546,0.232486932624852
"NP (H1N1)","Polarity",0.65,1.59979579044477,0.926458807919966,0.0824703943551654
"NP (H1N1)","Polarity",0.7,1.66991633288213,0.92350465350098,0.0830346723880303
"NP (H1N1)","Polarity",0.75,1.90745507468981,0.950058757947387,0.0635609141978286
"NP (H1N1)","Polarity",0.8,1.53192742577597,0.671959128331721,0.329888395362476
"NP (H1N1)","Polarity",0.85,1.74669845903055,0.550480586627083,0.298073578279789
"NP (H1N1)","Polarity",0.9,1.83199968958139,0.463707978119982,0.361108262965569
"NP (H1N1)","Polarity",0.95,1.52284432066083,0.203340701232643,0.686792592589178
"HA (H1N1)","Polarity",0.05,1.45923086016452,1.09041568861091,0.0101909678744791
"HA (H1N1)","Polarity",0.1,1.15497143200144,0.943704281511327,0.160843189807588
"HA (H1N1)","Polarity",0.15,0.934824750548868,0.771329679119754,0.502579914614464
"HA (H1N1)","Polarity",0.2,0.937189879499104,0.77189004759309,0.530658122114653
"HA (H1N1)","Polarity",0.25,0.991465046568561,0.813080120871056,0.960691535065155
"HA (H1N1)","Polarity",0.3,0.987638786271534,0.804591376999953,0.919047648380719
"HA (H1N1)","Polarity",0.35,1.06193444461299,0.857681524628436,0.595424347017031
"HA (H1N1)","Polarity",0.4,1.10108918364185,0.879458753965802,0.401732082235976
"HA (H1N1)","Polarity",0.45,1.09068570215995,0.859613209831307,0.478213132099047
"HA (H1N1)","Polarity",0.5,1.11558711269559,0.867884913218169,0.383252133729015
"HA (H1N1)","Polarity",0.55,1.12970180155749,0.865639779875754,0.355740418103347
"HA (H1N1)","Polarity",0.6,1.0609097462199,0.79328639793416,0.720780926059098
"HA (H1N1)","Polarity",0.65,1.13073615711897,0.827328129063887,0.441151297797993
"HA (H1N1)","Polarity",0.7,1.13719426367376,0.809905152527199,0.452961199686205
"HA (H1N1)","Polarity",0.75,1.0802776787849,0.736415611198482,0.709593309803864
"HA (H1N1)","Polarity",0.8,0.898881298402437,0.570946005162311,0.670608923639535
"HA (H1N1)","Polarity",0.85,0.801942506177816,0.454308088694473,0.44290610843417
"HA (H1N1)","Polarity",0.9,0.678562687195368,0.313217161331347,0.328470524593811
"HA (H1N1)","Polarity",0.95,0.769128532156084,0.263931438614865,0.661975092954748
"HIV ENV","Polarity & Volume",0.05,Inf,1.3204387458751,0.0130575090575809
"HIV ENV","Polarity & Volume",0.1,6.5545466482666,2.37777473359061,7.17705507447501e-06
"HIV ENV","Polarity & Volume",0.15,3.64465960152651,1.93419987305368,7.45887097247688e-06
"HIV ENV","Polarity & Volume",0.2,3.51533866069443,2.03876001040337,4.69332321333049e-07
"HIV ENV","Polarity & Volume",0.25,2.52267800539861,1.585372794312,2.41886118952761e-05
"HIV ENV","Polarity & Volume",0.3,1.96246060505933,1.31133042902415,0.000548804973754722
