"Dataset","Rel. Site Pref. Cutoff","Odds Ratio","OR_CI95_lower","p.value"
"NP (H3N2)",0.6,1.08486973835221,0.759144406796635,0.663210773907097
"NP (H3N2)",0.65,0.98272058461091,0.655696801456113,1
"NP (H3N2)",0.7,1.00579666949796,0.643382073247202,1
"NP (H3N2)",0.75,1.01896501280665,0.602240567287896,1
"NP (H3N2)",0.8,0.883598144948147,0.458202404735183,0.770352882904622
"NP (H3N2)",0.85,1.03681283437208,0.472212724096886,1
"NP (H3N2)",0.9,1.29848879422629,0.498894877282703,0.516188500633345
"NP (H3N2)",0.95,0.784168199313791,0.181581991003802,0.787154071418845
"NP (H1N1)",0.05,1.77216006007126,1.41769959668255,1.4671419241729e-07
"NP (H1N1)",0.1,1.12283531624701,0.953267198089974,0.163981342613352
"NP (H1N1)",0.15,1.03702727560605,0.870949138677157,0.695048276797728
"NP (H1N1)",0.2,1.03974317241654,0.859089825215871,0.703849797739253
"NP (H1N1)",0.25,1.0211602783665,0.827802777216063,0.835433705819529
"NP (H1N1)",0.3,1.08166565743811,0.859859920498256,0.493708944038012
"NP (H1N1)",0.35,1.09649137112313,0.852454606863734,0.45372853983921
"NP (H1N1)",0.4,1.1770053884196,0.891457723672179,0.238185189540603
"NP (H1N1)",0.45,1.19548536686851,0.883267226614867,0.227497632200855
"NP (H1N1)",0.5,1.19252273518722,0.85019637069245,0.276374714401024
"NP (H1N1)",0.55,1.2959396477786,0.897823418502564,0.142936499016595
"NP (H1N1)",0.6,1.43438261996508,0.969246087079632,0.0601463821142774
"NP (H1N1)",0.65,1.56928631572619,1.02003171152488,0.0372852744426968
"NP (H1N1)",0.7,1.74415692386529,1.09106137198833,0.0163040928862789
"NP (H1N1)",0.75,1.90996646168317,1.12086776005638,0.0139139699054899
"NP (H1N1)",0.8,1.80807729424948,0.956532175049421,0.0548179905665124
"NP (H1N1)",0.85,1.87722260415358,0.844301956139696,0.113030708398773
"NP (H1N1)",0.9,2.14224945404947,0.796963486197149,0.0938233473959061
"NP (H1N1)",0.95,1.77881322376863,0.428229572321469,0.343674559927137
"HA (H1N1)",0.05,1.83725318755473,1.46779565754388,2.38756852802877e-08
"HA (H1N1)",0.1,1.33562735570269,1.13601469152628,0.000364995127880381
"HA (H1N1)",0.15,1.08810114105763,0.929156261657766,0.286269977955842
"HA (H1N1)",0.2,1.11743026150677,0.951366759706038,0.170389924286617
"HA (H1N1)",0.25,1.15223990251415,0.976576345565676,0.0884026907066701
"HA (H1N1)",0.3,1.13973603190853,0.95989993003341,0.130960997222373
"HA (H1N1)",0.35,1.23242709237688,1.0296317662992,0.0203666131898345
"HA (H1N1)",0.4,1.30700956647558,1.08113805954764,0.00507408123978039
"HA (H1N1)",0.45,1.35610340094915,1.10834635905495,0.00276973813697674
"HA (H1N1)",0.5,1.44067795173978,1.16371968661705,0.00065934819787868
"HA (H1N1)",0.55,1.45137746473068,1.15410757013854,0.00117008522665568
"HA (H1N1)",0.6,1.40794873868885,1.0976984790696,0.006037861927775
"HA (H1N1)",0.65,1.50104956315331,1.14510298670484,0.0026705435694141
"HA (H1N1)",0.7,1.52101134402059,1.13016372831463,0.00459872639176841
"HA (H1N1)",0.75,1.42392428605496,1.0165840353477,0.0321846438072868
"HA (H1N1)",0.8,1.18139909059984,0.789636781743146,0.428169054194207
"HA (H1N1)",0.85,1.05023084097029,0.640232349552754,0.815236120031943
"HA (H1N1)",0.9,0.929274728432392,0.481102041153612,0.882856419294635
"HA (H1N1)",0.95,1.17149320763738,0.458340491073468,0.675688599715072
